club_id,club_name,club_short_name,country,state,city
1496,InclusivHEMA,-,-,-,-
97,Meyer Freifechter Guild,-,-,-,-
104,Schola St. George,-,-,-,-
301,School of European Swordsmanship,-,-,-,-
851,Suomen Historiallisen Miekkailun Seura,-,-,-,-
619,Society for Creative Anachronism,SCA,-,-,-
78,Company of Saint Jude,-,-,-,-
1137,Society of American Military Swordsmanship,-,-,-,-
1136,Society of American Military Swordsmanship Kabul,-,-,-,-
1533,SwordFight,-,-,-,-
1406,Zwerch von Links,-,-,-,-
1521,Vardan,-,-,-,-
1205,Circulo de Esgrima Histórica Cruz del Sur,-,-,-,-
1206,Kriegwolfe,-,-,-,-
1210,Sala de Armas Tercio de Ultramar,-,-,-,-
1202,Scolari Cordoba,-,-,-,-
1203,Scolari Rafaela,-,-,-,-
980,Cor et Chalybs,-,-,-,-
1352,Dao Schule Tirol,-,-,-,-
552,Dreynschlag,-,-,-,-
1240,Equinox,-,-,-,-
541,Fior della Spada,-,-,-,-
561,Freyfechter Wien,-,-,-,-
231,Historisches Fechten Baden,-,-,-,-
550,Historisches Fechten St. Pölten,-,-,-,-
551,Historisches Fechten Waldviertel Nord,-,-,-,-
852,INDES,-,-,-,-
1275,INDES Feldbach,-,-,-,-
1456,INDES Feldkirchen - Himmelberg,-,-,-,-
563,INDES Graz,-,-,-,-
1346,INDES Klagenfurt,-,-,-,-
553,INDES Korneuburg,-,-,-,-
564,INDES Linz,-,-,-,-
1089,INDES Regensburg,-,-,-,-
268,INDES Salzburg,-,-,-,-
560,INDES Wien,-,-,-,-
543,Klingenspiel,-,-,-,-
1199,Kunst des Historischen Fechtens Tirol,KdhF_Tirol,-,-,-
687,PSV-Graz,-,-,-,-
1348,Sprezzatura,-,-,-,-
805,Union Fechtverein Die Lange Schneyd,-,-,-,-
1347,Verein für gerüsteten Vollkontaktkampf Wien,VGVK-Wien,-,-,-
562,Wiener Fecht- und Ausdauersportrunde,WFA,-,-,-
542,Wölfe des Pfalzgrafen,-,-,-,-
328,Adelaide Sword Academy,-,-,-,-
503,Australis Scherma Scuola di Spada e Sciabola,-,-,-,-
1349,Ballarat HEMA Academy,-,-,-,-
1195,Ballarat Medieval Combat,-,-,-,-
1374,Barwon Academy of Arms,-,-,-,-
595,Big Tree Combat Academy,-,-,-,-
327,Brisbane School of Iberian Swordsmanship,-,-,-,-
324,Brisbane Swords,-,-,-,-
1102,Cairns European Sword Academy,CESA,-,-,-
330,Collegium in Armis,-,-,-,-
196,Fechtschule Victoria,-,-,-,-
806,Fitzroy College of Arms,-,-,-,-
1301,Flinders Fencing Club,FFC,-,-,-
1468,Gemeiner Savate Academy,-,-,-,-
145,Glen Lachlann Estate College of Arms,GLECA,-,-,-
573,Historical European Fighting Tasmania,HEFT,-,-,-
596,Historical European Rapier Academy,-,-,-,-
329,Historical School of Defence Toowoomba,-,-,-,-
332,House Darksun,-,-,-,-
1174,Invicta Fencing Academy,-,-,-,-
444,Ironclad Academy Of The Sword,-,-,-,-
1175,KDF Australia,-,-,-,-
1401,Knights of the Free Company,-,-,-,-
331,Leongatha Medieval Society,-,-,-,-
885,Melbourne Fencing Society,-,-,-,-
496,Melbourne Messer Club,-,-,-,-
1478,Melbourne Swordplay Guild,-,-,-,-
51,New England Medieval Arts Society,NEMAS,-,-,-
932,Northside Smallsword Group,-,-,-,-
494,Prima Spada School of Fence,-,-,-,-
591,Scholar Victoria,-,-,-,-
333,School of Historical Defense Arts,-,-,-,-
770,Spada di Bolognese,-,-,-,-
202,Stoccata School of Defence,-,-,-,-
325,Sword Fighter Gold Coast,-,-,-,-
1400,Sword-Point College of Arms,-,-,-,-
326,The School of Historical Fencing,-,-,-,-
1015,Ursa Major HEMA Academy,-,-,-,-
279,Vanguard Swordsmanship Academy,-,-,-,-
515,Victorian Historical Combat Academy,-,-,-,-
1198,Arte Mortiferum,-,-,-,-
47,De Hallebardiers,-,-,-,-
811,Des Keysers Ghesellen,-,-,-,-
1464,IIème Rguingonne,-,-,-,-
276,Invirtus,-,-,-,-
1460,Les Sept Epées,-,-,-,-
1264,Meyer May Rise,-,-,-,-
1532,MEZ,-,-,-,-
1492,Spatha Medievae,-,-,-,-
48,Sumus Soldani,-,-,-,-
277,SwArta,-,-,-,-
1459,Via Bruxellensis,-,-,-,-
1477,Bulgarian School of Ancient Military Arts - Velichie,-,-,-,-
1320,Fechtschule Sofia,-,-,-,-
1338,FORTE - Historical Fencing,-,-,-,-
1421,Freifechter Sofia,-,-,-,-
1319,Historical fencing - Stara Zagora,-,-,-,-
1274,Historical Swordsmanship - Angel Chernaev,-,-,-,-
485,School of Historical Swordsmanship MOTUS,-,-,-,-
1267,Academia de Esgrima Histórica Carioca,-,-,-,-
645,AEEA Stahlfechter,-,-,-,-
1474,Aes Atibaia,-,-,-,-
1512,Alcateia de Prata,-,-,-,-
1050,Arquearia e Combate Medieval - SCAM,-,-,-,-
1051,Batalha Cênica Salvador,-,-,-,-
646,Casa Vieira Turaine,-,-,-,-
1519,Clube 98,-,-,-,-
1511,Compagnia di Marte,-,-,-,-
1513,Escola Dardi,-,-,-,-
1266,Escola de Artes Marciais Históricas Grifo de Fogo,-,-,-,-
826,Espada de Avis,-,-,-,-
1052,Espada de Prata,-,-,-,-
1495,Espada Selvagem,-,-,-,-
1510,Falcão Negro,-,-,-,-
1534,Farfalla di Ferro,-,-,-,-
803,Javalis Combate Medieval,-,-,-,-
804,Karlbrüder esgrima histórica,-,-,-,-
649,Ordem do Teixo,-,-,-,-
648,Sala de Armas Desterro,-,-,-,-
1509,Wolfsherz,-,-,-,-
621,Diestro,-,-,-,-
1010,Diestro Minsk,-,-,-,-
1011,Diestro Vitebsk,-,-,-,-
1007,Diestro Sochi,-,-,-,-
633,Duellatoria Alba,-,-,-,-
13,Minsk HEMA Fight Club,-,-,-,-
676,A.M.H.E. Rimouski,-,-,-,-
1500,Academie Cavallo,-,-,-,-
381,Academie Duello,-,-,-,-
681,Académie Scrimicie,-,-,-,-
369,Academy of European Medieval Martial Arts,AEMMA,-,-,-
1427,Ardimento,-,-,-,-
1506,Bataireacht and Historical Fencing,-,-,-,-
152,Blood and Iron Martial Arts,B&I,-,-,-
759,"Blood and Iron Martial Arts, New Mexico",-,-,-,-
1505,Branta School of Arms,-,-,-,-
