event_id,event_name,date,year,country,state,city
1988,BHL 1 2024,January 28,2024,United States,Massachusetts,Boston
1981,Gold Coast Classic: Sidesword 2024,January 20,2024,Australia,Queensland,Gold Coast
1990,V Torneo Ciudad de Coruña de Esgrima Historica 2024,January 20,2024,Spain,-,A Coruña
1986,Unicorn Cup 2024,January 20,2024,United States,Pennsylvania,Pittsburgh
1983,Helsinki Longsword Open 2024,January 19,2024,Finland,-,Helsinki
1980,Žilinský Pun(k)c 2024,January 13,2024,Slovakia,-,Žilina
1976,HEMA Riga Singlestick Open 2023,December 16,2023,Latvia,-,Riga
1974,Baja Regional 2023,December 9,2023,Mexico,-,Tijuana
1971,Basilisk Cup 2023,December 9,2023,Poland,-,Warsaw
1967,Boston Hema League December 2023,December 3,2023,United States,Massachusetts,Boston
1982,Torneio Nacional de Esgrima Histórica 2023,December 3,2023,Brazil,Rio de Janeiro,Rio de Janeiro
1972,Sonata di Spada 2023,December 2,2023,Germany,-,Ulm
1969,Swordplay Serbia 2023,December 2,2023,Serbia,-,Belgrade
1973,Winter Ring 2023,December 2,2023,United States,Florida,Sarasota
1965,AMCF/HEMAA Collaborative Tournament 2023,December 2,2023,United States,Missouri,Kansas City
1968,Drabant Cup 2023,December 2,2023,Sweden,-,Lund
1977,The Duelling Arts - Winter Tournament 2023,December 1,2023,Canada,British Columbia,Vancouver
1962,Coornhert Sidesword Gathering 2023,November 25,2023,Netherlands,-,Gouda
1955,Wessex League 2023: Swindon Chapter,November 25,2023,United Kingdom,-,Swindon
1948,Pardubicky Mec 2023,November 25,2023,Czech Republic,-,Pardubice
1943,Onion Cup II 2023,November 19,2023,United States,California,Santa Rosa
1953,Boston HEMA League November 2023,November 19,2023,United States,Massachusetts,Boston
1957,Frost on the Blade 2023,November 18,2023,Canada,-,Barrie
1945,Rise of the Goose 2023,November 18,2023,Canada,Alberta,Edmonton
1946,EHMS Open 2023,November 18,2023,Finland,-,Helsinki
1944,Blue Box Open 2023,November 18,2023,United States,Ohio,Columbus
1975,Valkyrie Cup 3 2023,November 17,2023,Poland,-,Wroclaw
