fighter_id;fighter_name;nationality;club_id
9225;Aaron Babb;Canada;1012
7433;Aaron Boscolo;Italy;931
10618;Aaron Brandt;United States;69
1003;Aaron Caldarella;Italy;203
4683;Aaron Coode;United Kingdom;526
273;Aaron Cuneo;United States;36
4834;Aaron Daniels;United Kingdom;747
148;Aäron Faes;Belgium;48
12623;Aaron Finos;Canada;1023
1796;Aaron Fowler;Australia;325
826;Aaron Harmon;United States;177
12841;Aaron Hudson;United States;654
7202;Aaron Hutchinson;United States;499
8734;Aaron Johnson;United States;808
274;Aaron Karnuta;United States;1373
2313;Aaron Labertew;United States;397
11261;Aaron Lent;United States;737
8844;Aaron Manning;United Kingdom;521
13121;Aaron Mead;United Kingdom;949
6141;Aaron Meehan;United Kingdom;425
7951;Aaron Miedema;-;-
11874;Aaron Moore;United States;898
144;Aaron Pynenberg;United States;46
9961;Aaron Senteney;United States;1236
662;Aaron Shober;United States;163
2375;Aaron Uusitalo;United States;-
12243;Aaron Washik;United States;97
11435;Aaron Wheeler;United States;258
11094;Aaron Wilson;United States;156
6072;Aaron Ziska;United States;724
7736;Abbey Rich;-;-
12104;Abby Rodriguez;United States;113
6521;Abbye Palmer;United States;479
6324;Abeer Ahmed;United States;387
925;Abelard Newell;United States;80
11000;Abi Waller;United Kingdom;61
12447;Abigail Broadley;United States;1443
12287;Abigail Moore;United States;499
8396;Abigail Sims;United States;1256
8379;Abigail Yang;United States;107
2069;Abraham Garcia;Mexico;139
13218;Abraham Klink;Netherlands;38
10892;Abraham Madrid;United States;151
8947;Adam Almqvist;Sweden;302
10898;Adam Andrews;Canada;1333
5980;Adam Boretos;United States;642
3077;Adam Boulton;United Kingdom;466
12132;Adam Bruce;United States;762
11289;Adam Brunovský;Slovakia;380
11835;Adam Buchta;Czech Republic;786
7770;Adam Coe;United Kingdom;521
2154;Adam Cummins;United States;383
11670;Adam Davies;Australia;515
2704;Adam Duggan;United Kingdom;423
7929;Adam Enticknap;United Kingdom;62
5357;Adam Farence;United States;1024
3388;Adam Fell;Australia;202
8151;Adam Fox;United Kingdom;261
687;Adam Franti;United States;663
6718;Adam Funderburk;United States;36
12059;Adam Gansenberg;United States;-
3399;Adam Garden;Australia;202
10564;Adam Gibson;Poland;1232
9076;Adam Gilbert;United States;90
5028;Adam Gilkes;Australia;328
9816;Adam Greathouse;United States;966
5492;Adam Guillory;United States;116
12005;Adam Hembree;Australia;326
7129;Adam Henke;United States;123
